ORPHA:276413	10q22.3q23.3 microdeletion syndrome
OMIM:611284	DYSTONIA, FOCAL, TASK-SPECIFIC; FTSD
OMIM:607371	DYSTONIA, JUVENILE-ONSET
OMIM:128101	DYSTONIA MUSCULORUM DEFORMANS 4
ORPHA:521406	Dystonia-parkinsonism-hypermanganesemia syndrome
OMIM:224500	DYSTONIA, TORSION, 2, AUTOSOMAL RECESSIVE
OMIM:611694	DYSTONIA WITH CEREBELLAR ATROPHY
OMIM:611694	DYSTONIA WITH CEREBELLAR ATROPHY; DYTCA
OMIM:224550	DYSTONIA WITH RINGBINDEN
OMIM:145680	DYSTRANSTHYRETINEMIC EUTHYROIDAL HYPERTHYROXINEMIA
OMIM:160900	DYSTROPHIA MYOTONICA 1
OMIM:602668	DYSTROPHIA MYOTONICA 2
ORPHA:303	Dystrophic epidermolysis bullosa
ORPHA:89843	Dystrophic epidermolysis bullosa pruriginosa
OMIM:128290	EAR ANTITRAGUS, TAG AT BASE OF
OMIM:128300	EAR EXOSTOSES
OMIM:128500	EAR FOLDING
OMIM:128980	EARLOBES, THICKENED, WITH CONDUCTIVE DEAFNESS FROM INCUDOSTAPEDIALABNORMALITIES
ORPHA:1934	Early infantile epileptic encephalopathy
ORPHA:1935	Early myoclonic encephalopathy
DECIPHER:48	Early-onset Alzheimer disease with cerebral amyloid angiopathy
ORPHA:1020	Early-onset autosomal dominant Alzheimer disease
ORPHA:1177	Early-onset cerebellar ataxia with retained tendon reflexes
ORPHA:488635	Early-onset epilepsy-intellectual disability-brain anomalies syndrome
ORPHA:289266	Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation
ORPHA:411986	Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome
ORPHA:556030	Early-onset familial hypoaldosteronism
ORPHA:256	Early-onset generalized limb-onset dystonia
ORPHA:324290	Early-onset Lafora body disease
ORPHA:2379	Early-onset parkinsonism-intellectual disability syndrome
ORPHA:496641	Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome
ORPHA:500144	Early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome
ORPHA:496756	Early-onset progressive encephalopathy-spastic ataxia-distal spinal muscular atrophy syndrome
ORPHA:96369	Early-onset schizophrenia
ORPHA:505237	Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome
ORPHA:313772	Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome
ORPHA:98890	Early-onset X-linked optic atrophy
OMIM:128600	EAR MALFORMATION
ORPHA:2554	Ear-patella-short stature syndrome
OMIM:224690	EAR, PATELLA, SHORT STATURE SYNDROME
OMIM:128710	EAR PITS, POSTERIOR HELICAL
OMIM:129000	EARRING HOLES, NATURAL
OMIM:128800	EAR WITHOUT HELIX
ORPHA:199343	EAST syndrome
ORPHA:319218	Ebola hemorrhagic fever
OMIM:224700	EBSTEIN ANOMALY
ORPHA:1880	Ebstein malformation
OMIM:129150	ECHO VIRUS 11 SENSITIVITY
OMIM:129490	ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT;ECTD10A;;ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL DOMINANT; HED
OMIM:224900	ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE; ECTD10B
OMIM:224900	ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMALRECESSIVE; ECTD10B;;ECTODERMAL DYSPLASIA, HYPOHIDROTIC; HED;;ECTODERMAL DYSPLASIA, ANHIDROTIC; EDA
OMIM:614940	ECTODERMAL DYSPLASIA 11A, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL DOMINANT
OMIM:614940	ECTODERMAL DYSPLASIA 11A, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL DOMINANT; ECTD11A
OMIM:614940	ECTODERMAL DYSPLASIA 11A, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMALDOMINANT; ECTD11A;;ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL DOMINANT; HED
OMIM:614941	ECTODERMAL DYSPLASIA 11B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE
OMIM:614941	ECTODERMAL DYSPLASIA 11B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE; ECTD11B
OMIM:614941	ECTODERMAL DYSPLASIA 11B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMALRECESSIVE; ECTD11B;;ECTODERMAL DYSPLASIA, HYPOHIDROTIC; HED;;ECTODERMAL DYSPLASIA, ANHIDROTIC; EDA
OMIM:617337	ECTODERMAL DYSPLASIA 12, HYPOHIDROTIC/HAIR/TOOTH/NAIL TYPE
OMIM:617337	ECTODERMAL DYSPLASIA 12, HYPOHIDROTIC/HAIR/TOOTH/NAIL TYPE; ECTD12
OMIM:617392	ECTODERMAL DYSPLASIA 13, HAIR/TOOTH TYPE
OMIM:617392	ECTODERMAL DYSPLASIA 13, HAIR/TOOTH TYPE; ECTD13
OMIM:618180	ECTODERMAL DYSPLASIA 14, HAIR/TOOTH TYPE WITH OR WITHOUT HYPOHIDROSIS; ECTD14
OMIM:618535	ECTODERMAL DYSPLASIA 15, HYPOHIDROTIC/HAIR TYPE; ECTD15
OMIM:305100	ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED; XHED
OMIM:305100	ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED; XHED;;ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC/HAIR/TOOTH TYPE, X-LINKED; ECTD1;;XLHED;;ECTODERMAL DYSPLASIA, ANHIDROTIC, X-LINKED; EDA;;EDA1;;ECTODERMAL DYSPLASIA, HYPOHIDROTIC, 1; HED1;;ECTODERMAL DYSPLASIA 1; ED1;;CHRIST-SIEMENS-TOURAINE SYNDROME;;CST SYNDROME
OMIM:602032	Ectodermal dysplasia 4, hair/nail type
OMIM:614927	ECTODERMAL DYSPLASIA 5, HAIR/NAIL TYPE; ECTD5
OMIM:614928	ECTODERMAL DYSPLASIA 6, HAIR/NAIL TYPE; ECTD6
OMIM:614929	ECTODERMAL DYSPLASIA 7, HAIR/NAIL TYPE; ECTD7
OMIM:602401	ECTODERMAL DYSPLASIA 8, HAIR/TOOTH/NAIL TYPE
OMIM:602401	ECTODERMAL DYSPLASIA 8, HAIR/TOOTH/NAIL TYPE; ECTD8
OMIM:614931	Ectodermal dysplasia 9, hair/nail type
OMIM:614931	ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9
OMIM:129200	ECTODERMAL DYSPLASIA, ABSENT DERMATOGLYPHIC PATTERN, CHANGES IN NAILS,AND SIMIAN CREASE
OMIM:300291	Ectodermal dysplasia and immunodeficiency 1
OMIM:224800	ECTODERMAL DYSPLASIA AND NEUROSENSORY DEAFNESS
OMIM:612132	ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH T-CELL IMMUNODEFICIENCY, AUTOSOMAL
OMIM:612132	ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH T-CELL IMMUNODEFICIENCY, AUTOSOMALDOMINANT
OMIM:612132	ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH T-CELL IMMUNODEFICIENCY, AUTOSOMAL DOMINANT
ORPHA:1806	Ectodermal dysplasia-blindness syndrome
OMIM:225280	ECTODERMAL DYSPLASIA, ECTRODACTYLY, AND MACULAR DYSTROPHY SYNDROME
OMIM:129500	ECTODERMAL DYSPLASIA, HIDROTIC, AUTOSOMAL DOMINANT
OMIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE
OMIM:129490	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL DOMINANT
OMIM:224900	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL RECESSIVE
OMIM:225040	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH HYPOTHYROIDISM AND AGENESIS OF THE CORPUS CALLOSUM
OMIM:225040	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH HYPOTHYROIDISM AND AGENESISOF THE CORPUS CALLOSUM
OMIM:225050	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH HYPOTHYROIDISM AND CILIARYDYSKINESIA
OMIM:305100	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, X-LINKED
ORPHA:1812	Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome
ORPHA:1883	Ectodermal dysplasia-sensorineural deafness syndrome
OMIM:609944	ECTODERMAL DYSPLASIA, SENSORINEURAL HEARING LOSS, AND DISTINCTIVE FACIAL FEATURES
OMIM:609944	ECTODERMAL DYSPLASIA, SENSORINEURAL HEARING LOSS, AND DISTINCTIVEFACIAL FEATURES
OMIM:616029	ECTODERMAL DYSPLASIA/SHORT STATURE SYNDROME
OMIM:616029	ECTODERMAL DYSPLASIA/SHORT STATURE SYNDROME; ECTDS
OMIM:604536	Ectodermal dysplasia/skin fragility syndrome
OMIM:613573	ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 1
OMIM:613573	ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 1; EDSS1
OMIM:613576	ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 2; EDSS2
ORPHA:79373	Ectodermal dysplasia syndrome
OMIM:129540	ECTODERMAL DYSPLASIA SYNDROME WITH DISTINCTIVE FACIAL APPEARANCE ANDPREAXIAL POLYDACTYLY OF FEET
ORPHA:1818	Ectodermal dysplasia, trichoodontoonychial type
OMIM:129510	ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPE
OMIM:129510	ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPEAMASTIA, INCLUDED
OMIM:129550	ECTODERMAL DYSPLASIA WITH ADRENAL CYST
OMIM:618727	Ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies, somatic mosaic
OMIM:600906	ECTODERMAL DYSPLASIA WITH MENTAL RETARDATION AND SYNDACTYLY
OMIM:601345	ECTODERMAL DYSPLASIA WITH NATAL TEETH, TURNPENNY TYPE
OMIM:225100	ECTOPIA LENTIS
OMIM:225200	ECTOPIA LENTIS ET PUPILLAE;;ECTOPIA LENTIS WITH ECTOPIA OF PUPIL
OMIM:129600	ECTOPIA LENTIS, ISOLATED
OMIM:601552	ECTOPIA LENTIS, SPONTANEOUS FILTERING BLEBS, AND CRANIOFACIAL DYSMORPHISM
OMIM:225200	ECTOPIA LENTIS WITH ECTOPIA OF PUPIL
OMIM:129750	ECTOPIA PUPILLAE
ORPHA:231632	Ectopic aldosterone-producing tumor
OMIM:129810	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE
OMIM:129830	ECTRODACTYLY-CLEFT PALATE SYNDROME
OMIM:129900	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME
OMIM:129900	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME1; EEC1;;EEC;;EEC SYNDROME 1
OMIM:604292	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3
OMIM:601348	ECTRODACTYLY OF LOWER LIMBS, CONGENITAL HEART DEFECT, AND MICROGNATHIA
OMIM:225290	ECTRODACTYLY-POLYDACTYLY
ORPHA:1892	Ectrodactyly-polydactyly syndrome
OMIM:129840	EDEMA, FAMILIAL IDIOPATHIC, PREPUBERTAL
OMIM:614303	EDICT SYNDROME
OMIM:614303	EDICT SYNDROME; EDICT;;ENDOTHELIAL DYSTROPHY, IRIS HYPOPLASIA, CONGENITAL CATARACT, AND STROMALTHINNING SYNDROME;;KERATOCONUS WITH CATARACT; KTCNCT;;KERATOCONUS, FAMILIAL, WITH EARLY-ONSET ANTERIOR POLAR CATARACT
ORPHA:1895	Edinburgh malformation syndrome
OMIM:129850	EDINBURGH MALFORMATION SYNDROME
ORPHA:1896	EEC syndrome
ORPHA:1897	EEM syndrome
OMIM:225280	EEM SYNDROME
OMIM:225280	EEM SYNDROME;;ECTODERMAL DYSPLASIA, ECTRODACTYLY, AND MACULAR DYSTROPHY
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY
OMIM:130060	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1; EDSARTH1
OMIM:617821	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 2; EDSARTH2
OMIM:130090	EHLERS-DANLOS SYNDROME, AUTOSOMAL DOMINANT, TYPE UNSPECIFIED
OMIM:130090	EHLERS-DANLOS SYNDROME, AUTOSOMAL DOMINANT, TYPE UNSPECIFIED;;EDS, UNSPECIFIED TYPE;;EHLERS-DANLOS SYNDROME, FRIEDMAN-HARROD TYPE
OMIM:225320	EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM
OMIM:608763	EHLERS-DANLOS SYNDROME, BEASLEY-COHEN TYPE
OMIM:618000	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2; EDSCLL2
OMIM:606408	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE; EDSCLL
OMIM:130010	Ehlers-Danlos syndrome, classic type, 2
OMIM:130010	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 2; EDSCL2
OMIM:130020	EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE
OMIM:614557	EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 2; EDSKSCL2
OMIM:601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 1
OMIM:601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 1; EDSMC1
OMIM:601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE 1; EDSMC1;;EDSMC;;ADDUCTED THUMB, CLUBFOOT, AND PROGRESSIVE JOINT AND SKIN LAXITY SYNDROME;;EHLERS-DANLOS SYNDROME, TYPE VIB, FORMERLY; EDS6B, FORMERLY;;ADDUCTED THUMB-CLUBFOOT SYNDROME; ATCS;;DUNDAR SYNDROME;;ARTHROGRYPOSIS, DISTAL, WITH PECULIAR FACIES AND HYDRONEPHROSIS
OMIM:615539	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE 2; EDSMC2
OMIM:615539	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 2; EDSMC2
OMIM:601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE;;ADDUCTED THUMB, CLUBFOOT, AND PROGRESSIVE JOINT AND SKIN LAXITY SYNDROME;;EHLERS-DANLOS SYNDROME, TYPE VIB, FORMERLY; EDS6B, FORMERLY;;ADDUCTED THUMB-CLUBFOOT SYNDROME; ATCS;;DUNDAR SYNDROME;;ARTHROGRYPOSIS, DISTAL, WITH PECULIAR FACIES AND HYDRONEPHROSIS
OMIM:130080	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1
OMIM:130080	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1
OMIM:617174	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 2
OMIM:617174	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 2; EDSPD2
OMIM:615349	EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 2
OMIM:615349	EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 2; EDSP2
OMIM:130070	Ehlers-Danlos syndrome, spondylodysplastic type, 1
OMIM:615349	EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 2; EDSSPD2
OMIM:612350	Ehlers-Danlos syndrome, spondylodysplastic type, 3
OMIM:130000	EHLERS-DANLOS SYNDROME, TYPE I
OMIM:130020	EHLERS-DANLOS SYNDROME, TYPE III
OMIM:130020	EHLERS-DANLOS SYNDROME, TYPE III;;EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE;;EDS III;;EDS3;;BENIGN HYPERMOBILITY SYNDROME
OMIM:130050	EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOMAL DOMINANT
OMIM:225400	EHLERS-DANLOS SYNDROME, TYPE VI
OMIM:225400	EHLERS-DANLOS SYNDROME, TYPE VI; EDS6;;EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE;;EDS VI;;EHLERS-DANLOS SYNDROME, OCULAR-SCOLIOTIC TYPE;;EHLERS-DANLOS SYNDROME, TYPE VIA, FORMERLY; EDS6A, FORMERLY
OMIM:130060	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL DOMINANT
OMIM:130060	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL DOMINANT;;EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE;;EDS VIIA; EDS7A;;ARTHROCHALASIS MULTIPLEX CONGENITA;;EDS VII, MUTANT PROCOLLAGEN TYPEEDS VIIB, INCLUDED; EDS7B, INCLUDED
OMIM:225410	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE
OMIM:225410	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE;;EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE;;DERMATOSPARAXIS;;EDS VIIC;;EDS7C
OMIM:130080	EHLERS-DANLOS SYNDROME, TYPE VIII
OMIM:130080	EHLERS-DANLOS SYNDROME, TYPE VIII;;EHLERS-DANLOS SYNDROME, PERIODONTITIS TYPE;;EHLERS-DANLOS SYNDROME, PERIODONTOSIS TYPE;;EDS VIII;;EDS8
OMIM:130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC
OMIM:225310	EHLERS-DANLOS SYNDROME WITH PLATELET DYSFUNCTION FROM FIBRONECTINABNORMALITY
OMIM:614557	EHLERS-DANLOS SYNDROME WITH PROGRESSIVE KYPHOSCOLIOSIS, MYOPATHY,AND HEARING LOSS; EDSKMH
OMIM:600002	EIKEN SKELETAL DYSPLASIA
ORPHA:79106	Eiken syndrome
OMIM:600002	EIKEN SYNDROME
ORPHA:97214	Eisenmenger syndrome
ORPHA:228240	Elastoderma
OMIM:130100	ELASTOSIS PERFORANS SERPIGINOSA
OMIM:130200	ELECTROENCEPHALOGRAPHIC PECULIARITY: 14 AND 6 PER SEC. POSITIVE SPIKEPHENOMENON
OMIM:130300	ELECTROENCEPHALOGRAPHIC PECULIARITY: FRONTO-PRECENTRAL BETA WAVE GROUPS
OMIM:256710	ELEJALDE DISEASE
OMIM:611804	ELLIPTOCYTOSIS 1; EL1
OMIM:611804	ELLIPTOCYTOSIS 1; EL1;;ELLIPTOCYTOSIS, RHESUS-LINKED TYPE;;PROTEIN 4.1 OF ERYTHROCYTE MEMBRANE, DEFECT OF;;4.1-MINUS TRAIT;;4.1- TRAIT
OMIM:130600	Elliptocytosis-2
OMIM:130600	ELLIPTOCYTOSIS 2; EL2
OMIM:617948	Elliptocytosis-3
ORPHA:289	Ellis Van Creveld syndrome
OMIM:225500	ELLIS-VAN CREVELD SYNDROME
OMIM:211380	ELSAHY-WATERS SYNDROME; ESWS
ORPHA:96170	Emanuel syndrome
OMIM:609029	EMANUEL SYNDROME
OMIM:609029	EMANUEL SYNDROME;;SUPERNUMERARY DER(22)t(11;22) SYNDROME
ORPHA:261	Emery-Dreifuss muscular dystrophy
OMIM:310300	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED; EDMD1
OMIM:181350	EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT; EDMD2;;EMD2;;EMERY-DREIFUSS MUSCULAR DYSTROPHY, AUTOSOMAL DOMINANT;;SCAPULOILIOPERONEAL ATROPHY WITH CARDIOPATHY;;MUSCULAR DYSTROPHY WITH EARLY CONTRACTURES AND CARDIOMYOPATHY, AUTOSOMALDOMINANT;;HAUPTMANN-THANNHAUSER MUSCULAR DYSTROPHYEMERY-DREIFUSS MUSCULAR DYSTROPHY, ATYPICAL, AUTOSOMAL RECESSIVE,INCLUDED;;EMERY-DREIFUSS MUSCULAR DYSTROPHY 3, AUTOSOMAL RECESSIVE, INCLUDED;EDMD3, INCLUDED
OMIM:616516	EMERY-DREIFUSS MUSCULAR DYSTROPHY 3, AUTOSOMAL RECESSIVE
OMIM:616516	EMERY-DREIFUSS MUSCULAR DYSTROPHY 3, AUTOSOMAL RECESSIVE; EDMD3
OMIM:612998	EMERY-DREIFUSS MUSCULAR DYSTROPHY 4
OMIM:612998	EMERY-DREIFUSS MUSCULAR DYSTROPHY 4, AUTOSOMAL DOMINANT; EDMD4;;EMERY-DREIFUSS MUSCULAR DYSTROPHY 4 WITH VARIABLE FEATURES
OMIM:612999	EMERY-DREIFUSS MUSCULAR DYSTROPHY 5
OMIM:612999	EMERY-DREIFUSS MUSCULAR DYSTROPHY 5, AUTOSOMAL DOMINANT; EDMD5
OMIM:614302	EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUTOSOMAL DOMINANT; EDMD7
OMIM:181350	EMERY-DREIFUSS MUSCULAR DYSTROPHY, AUTOSOMAL DOMINANT
OMIM:310300	EMERY-DREIFUSS MUSCULAR DYSTROPHY, X-LINKED
ORPHA:1927	Emery-Nelson syndrome
OMIM:130710	EMPHYSEMA, CONGENITAL LOBAR
OMIM:130700	EMPHYSEMA, HEREDITARY PULMONARY
OMIM:600907	ENAMEL HYPOPLASIA, CATARACTS, AND AQUEDUCTAL STENOSIS
ORPHA:1031	Enamel-renal syndrome
OMIM:204690	ENAMEL-RENAL SYNDROME; ERS;;AMELOGENESIS IMPERFECTA, HYPOPLASTIC, AND NEPHROCALCINOSIS;;AMELOGENESIS IMPERFECTA, TYPE IG; AI1G
OMIM:618113	ENCEPHALITIS/ENCEPHALOPATHY, MILD, WITH REVERSIBLE MYELIN VACUOLIZATION; MMERV
ORPHA:83600	Encephalitis lethargica
OMIM:225790	ENCEPHALOCLASTIC PROLIFERATIVE VASCULOPATHY
ORPHA:2396	Encephalocraniocutaneous lipomatosis
OMIM:613001	ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS
OMIM:613001	ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS; ECCL
OMIM:225700	ENCEPHALOMALACIA, MULTILOCULAR
OMIM:614520	ENCEPHALOMYOPATHY, MITOCHONDRIAL, DUE TO VOLTAGE-DEPENDENT ANION CHANNELDEFICIENCY
OMIM:614520	ENCEPHALOMYOPATHY, MITOCHONDRIAL, DUE TO VOLTAGE-DEPENDENT ANION CHANNEL DEFICIENCY
OMIM:610551	Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1
OMIM:613002	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 2; IIAE2
OMIM:614850	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 6; IIAE6
OMIM:616532	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 7; IIAE7
OMIM:617900	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8; IIAE8
OMIM:608033	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3;;ENCEPHALOPATHY, ACUTE NECROTIZING, SUSCEPTIBILITY TO; ANE
OMIM:614212	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4; IIAE4
OMIM:618426	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 9; IIAE9
OMIM:225740	ENCEPHALOPATHY, AXONAL, WITH NECROTIZING MYOPATHY, CARDIOMYOPATHY, AND CATARACTS
OMIM:225740	ENCEPHALOPATHY, AXONAL, WITH NECROTIZING MYOPATHY, CARDIOMYOPATHY,AND CATARACTS
OMIM:614388	ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 1
OMIM:617086	ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 2
ORPHA:139406	Encephalopathy due to prosaposin deficiency
ORPHA:833	Encephalopathy due to sulfite oxidase deficiency
OMIM:602473	ENCEPHALOPATHY, ETHYLMALONIC
OMIM:602473	ENCEPHALOPATHY, ETHYLMALONIC; EE
OMIM:604218	ENCEPHALOPATHY, FAMILIAL, WITH NEUROSERPIN INCLUSION BODIES; FENIB
OMIM:225753	ENCEPHALOPATHY, FATAL INFANTILE, WITH OLIVOPONTOCEREBELLAR HYPOPLASIA
OMIM:614388	ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMALFISSION; EMPF
OMIM:300673	ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS
OMIM:617668	ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES; NELABA
OMIM:617669	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND SPASTICITY; PEBAS
OMIM:617193	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM
OMIM:617193	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM; PEBAT
OMIM:617186	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY
OMIM:617186	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1; PEBEL1
OMIM:618321	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 2; PEBEL2
OMIM:617186	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY; PEBEL
OMIM:618331	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH EPISODIC RHABDOMYOLYSIS; PEERB
OMIM:617207	ENCEPHALOPATHY, PROGRESSIVE, WITH AMYOTROPHY AND OPTIC ATROPHY
OMIM:617207	ENCEPHALOPATHY, PROGRESSIVE, WITH AMYOTROPHY AND OPTIC ATROPHY; PEAMO
OMIM:615924	ENCEPHALOPATHY, PROGRESSIVE, WITH OR WITHOUT LIPODYSTROPHY; PELD
OMIM:130950	ENCEPHALOPATHY, RECURRENT, OF CHILDHOOD
OMIM:225755	ENCEPHALOPATHY WITH INTRACRANIAL CALCIFICATION, GROWTH HORMONE DEFICIENCY, MICROCEPHALY, AND RETINAL DEGENERATION
OMIM:225755	ENCEPHALOPATHY WITH INTRACRANIAL CALCIFICATION, GROWTH HORMONE DEFICIENCY,MICROCEPHALY, AND RETINAL DEGENERATION
OMIM:166000	ENCHONDROMATOSIS, MULTIPLE
